"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RSM00027612","MOSCOW, RS","2020-10-22","6.9",,"4.8","6.6","2.5"
"RSM00027612","MOSCOW, RS","2020-10-23","8.9",,"11.4","14.3","6.6"
"RSM00027612","MOSCOW, RS","2020-11-01","1.0",,"5.2",,
"RSM00027612","MOSCOW, RS","2020-11-02","2.0",,"5.8","6.6","3.9"
"RSM00027612","MOSCOW, RS","2020-11-03","0.5",,"7.2",,"5.8"
"RSM00027612","MOSCOW, RS","2020-11-04","0.0",,"8.6","9.6","7.8"
"RSM00027612","MOSCOW, RS","2020-11-05","3.3",,"7.4","8.7",
"RSM00027612","MOSCOW, RS","2020-11-06","4.6",,"6.5","7.3",
"RSM00027612","MOSCOW, RS","2020-11-07","0.0",,"7.3","9.9","4.4"
"RSM00027612","MOSCOW, RS","2020-11-08","5.3",,"7.1","10.0",
"RSM00027612","MOSCOW, RS","2020-11-09","0.0",,"1.1","2.4","-1.2"
"RSM00027612","MOSCOW, RS","2020-11-10","0.5",,"2.8","3.6","1.4"
"RSM00027612","MOSCOW, RS","2020-11-11","0.0",,"1.0","2.2",
"RSM00027612","MOSCOW, RS","2020-11-12","0.0",,"0.7","3.0","-2.9"
"RSM00027612","MOSCOW, RS","2020-11-13","0.3",,"3.2","4.4","2.5"
"RSM00027612","MOSCOW, RS","2020-11-14","0.0",,"1.9","3.4","0.4"
"RSM00027612","MOSCOW, RS","2020-11-15","0.0",,"1.1","1.5",
"RSM00027612","MOSCOW, RS","2020-11-16","0.0",,"-1.6",,
"RSM00027612","MOSCOW, RS","2020-11-17","0.0",,"-5.2","-3.5","-7.1"
"RSM00027612","MOSCOW, RS","2020-11-18","0.5",,"-2.8","-1.1","-5.3"
"RSM00027612","MOSCOW, RS","2020-11-19","4.1","10.0","0.4","1.2","-2.6"
"RSM00027612","MOSCOW, RS","2020-11-20","4.1",,"0.4",,
"RSM00027612","MOSCOW, RS","2020-11-21","0.5","51.0","0.2","0.9","-0.4"
"RSM00027612","MOSCOW, RS","2020-11-22","3.0","41.0","-1.6",,
"RSM00027612","MOSCOW, RS","2020-11-23","4.6","99.0","0.1",,"-2.2"
"RSM00027612","MOSCOW, RS","2020-11-24","4.1","41.0","2.2","3.2",
